time	V(vout)	I(L1)
5.031774988550215e-06	1.991276e-01	1.199268e+00
5.032000499337928e-06	1.991454e-01	1.199322e+00
5.032234630176719e-06	1.991639e-01	1.199378e+00
5.032478707476294e-06	1.991832e-01	1.199436e+00
5.032966862075445e-06	1.992218e-01	1.199551e+00
5.033882456304769e-06	1.992942e-01	1.199768e+00
5.034958863822623e-06	1.993793e-01	1.200020e+00
5.036547747870109e-06	1.995050e-01	1.200386e+00
5.038583612394807e-06	1.996661e-01	1.200840e+00
5.040623001879951e-06	1.998275e-01	1.201263e+00
5.043016464419633e-06	2.000170e-01	1.201692e+00
5.044916758824323e-06	2.001674e-01	1.201944e+00
5.047043116856778e-06	2.003359e-01	1.202115e+00
5.048002177699473e-06	2.004118e-01	1.202148e+00
5.048554845745861e-06	2.004556e-01	1.202148e+00
5.048577894076611e-06	2.004575e-01	1.202148e+00
5.048623990738113e-06	2.004611e-01	1.202147e+00
5.048716184061117e-06	2.004684e-01	1.202146e+00
5.048900570707124e-06	2.004830e-01	1.202143e+00
5.049224832763058e-06	2.005087e-01	1.202138e+00
5.049706222154306e-06	2.005468e-01	1.202130e+00
5.050646020582285e-06	2.006213e-01	1.202114e+00
5.052085875018405e-06	2.007353e-01	1.202090e+00
5.053484171425459e-06	2.008461e-01	1.202066e+00
5.054806080005844e-06	2.009508e-01	1.202044e+00
5.056224141823239e-06	2.010631e-01	1.202019e+00
5.057601429540633e-06	2.011722e-01	1.201995e+00
5.059017788217302e-06	2.012844e-01	1.201970e+00
5.060397314000257e-06	2.013936e-01	1.201946e+00
5.061808126338486e-06	2.015053e-01	1.201921e+00
5.063207439805944e-06	2.016162e-01	1.201897e+00
5.064628694398088e-06	2.017287e-01	1.201872e+00
5.066060843653893e-06	2.018421e-01	1.201846e+00
5.067503206399580e-06	2.019563e-01	1.201821e+00
5.068998881760341e-06	2.020748e-01	1.201795e+00
5.070745865966558e-06	2.022131e-01	1.201764e+00
5.072850807014148e-06	2.023798e-01	1.201726e+00
5.075552217925291e-06	2.025937e-01	1.201678e+00
5.079301201351905e-06	2.028905e-01	1.201612e+00
5.084644985499912e-06	2.033135e-01	1.201516e+00
5.094184096116494e-06	2.040685e-01	1.201346e+00
5.112307299616465e-06	2.055025e-01	1.201021e+00
5.135661915361484e-06	2.073497e-01	1.200602e+00
5.165282791249106e-06	2.096913e-01	1.200070e+00
5.204390692282592e-06	2.127804e-01	1.199366e+00
5.268774844384494e-06	2.178596e-01	1.198204e+00
6.130434017622123e-06	2.850415e-01	1.182323e+00
8.115187358465127e-06	4.354891e-01	1.144017e+00
9.020000000000000e-06	5.023630e-01	1.125898e+00
9.040000000000000e-06	5.038170e-01	1.125488e+00
9.649999999999999e-06	5.478466e-01	1.112892e+00
9.999999999999980e-06	5.728207e-01	1.105565e+00
1.001000000000000e-05	5.735312e-01	1.105354e+00
1.001004399997175e-05	5.735344e-01	1.105353e+00
1.001013199991525e-05	5.735406e-01	1.105352e+00
1.001023552837014e-05	5.735480e-01	1.105349e+00
1.001033571190351e-05	5.735551e-01	1.105347e+00
1.001053607897026e-05	5.735693e-01	1.105343e+00
1.001093681310374e-05	5.735978e-01	1.105335e+00
1.001161653192763e-05	5.736461e-01	1.105320e+00
1.001256853375747e-05	5.737137e-01	1.105300e+00
1.001392922601220e-05	5.738103e-01	1.105271e+00
1.001578388993157e-05	5.739421e-01	1.105231e+00
1.001690523433870e-05	5.740217e-01	1.105211e+00
1.001775731118574e-05	5.740822e-01	1.105209e+00
1.001849025603046e-05	5.741343e-01	1.105230e+00
1.001914388435831e-05	5.741807e-01	1.105273e+00
1.001943227665316e-05	5.742012e-01	1.105303e+00
1.001951409647746e-05	5.742070e-01	1.105314e+00
1.001956423300596e-05	5.742106e-01	1.105322e+00
1.001961354307569e-05	5.742140e-01	1.105330e+00
1.001968050252569e-05	5.742188e-01	1.105342e+00
1.001974200253475e-05	5.742232e-01	1.105353e+00
1.001981511725028e-05	5.742284e-01	1.105366e+00
1.001990013634162e-05	5.742344e-01	1.105381e+00
1.001990197355841e-05	5.742345e-01	1.105382e+00
1.001990564799198e-05	5.742348e-01	1.105382e+00
1.001990732376365e-05	5.742349e-01	1.105383e+00
1.001990972535303e-05	5.742351e-01	1.105383e+00
1.001991405070513e-05	5.742354e-01	1.105384e+00
1.001991936815401e-05	5.742358e-01	1.105385e+00
1.001993000305178e-05	5.742365e-01	1.105387e+00
1.001995127284732e-05	5.742381e-01	1.105391e+00
1.001996983553215e-05	5.742394e-01	1.105394e+00
1.001997524975356e-05	5.742397e-01	1.105395e+00
1.001998607819638e-05	5.742405e-01	1.105397e+00
1.002000000000000e-05	5.742415e-01	1.105400e+00
1.002000139218036e-05	5.742416e-01	1.105400e+00
1.002000417654109e-05	5.742418e-01	1.105401e+00
1.002000974526254e-05	5.742422e-01	1.105402e+00
1.002004315759123e-05	5.742446e-01	1.105408e+00
1.002008770736281e-05	5.742477e-01	1.105417e+00
1.002017680690598e-05	5.742541e-01	1.105433e+00
1.002035500599233e-05	5.742667e-01	1.105468e+00
1.002071140416502e-05	5.742921e-01	1.105539e+00
1.002142420051041e-05	5.743427e-01	1.105687e+00
1.002226201595427e-05	5.744022e-01	1.105867e+00
1.002296083079003e-05	5.744519e-01	1.106024e+00
1.002330443376725e-05	5.744763e-01	1.106102e+00
1.002356351530658e-05	5.744947e-01	1.106163e+00
1.002371666921504e-05	5.745056e-01	1.106198e+00
1.002390644277871e-05	5.745191e-01	1.106242e+00
1.002428532918920e-05	5.745460e-01	1.106331e+00
1.002472610356988e-05	5.745774e-01	1.106434e+00
1.002516250886979e-05	5.746084e-01	1.106536e+00
1.002580753595908e-05	5.746543e-01	1.106686e+00
1.002649584458249e-05	5.747032e-01	1.106847e+00
1.002740203153538e-05	5.747677e-01	1.107059e+00
1.002838207565963e-05	5.748374e-01	1.107288e+00
1.002965682931936e-05	5.749282e-01	1.107587e+00
1.003104879012317e-05	5.750272e-01	1.107912e+00
1.003330468649688e-05	5.751879e-01	1.108440e+00
1.003544959584628e-05	5.753407e-01	1.108942e+00
1.003973941454509e-05	5.756466e-01	1.109946e+00
1.004427838787767e-05	5.759706e-01	1.111009e+00
1.005335633454282e-05	5.766197e-01	1.113133e+00
1.006534058898670e-05	5.774786e-01	1.115938e+00
1.008420341205123e-05	5.788354e-01	1.120353e+00
1.011197213807997e-05	5.808448e-01	1.126852e+00
1.016750959013747e-05	5.849088e-01	1.139847e+00
1.027858449425246e-05	5.932131e-01	1.165828e+00
1.050073430248244e-05	6.105261e-01	1.217753e+00
1.094503391894241e-05	6.479591e-01	1.321440e+00
1.183363315186234e-05	7.313958e-01	1.528272e+00
1.283363315186234e-05	8.377963e-01	1.760154e+00
1.383363315186234e-05	9.556760e-01	1.991165e+00
1.402000000000000e-05	9.794131e-01	2.034070e+00
1.439273369627531e-05	1.029047e+00	2.119692e+00
1.440273369627531e-05	1.030401e+00	2.121987e+00
1.442273369627531e-05	1.033140e+00	2.126574e+00
1.446273369627531e-05	1.038640e+00	2.135746e+00
1.454273369627531e-05	1.049728e+00	2.154082e+00
1.470273369627531e-05	1.072073e+00	2.190737e+00
1.473273369627531e-05	1.076309e+00	2.197605e+00
1.485273369627531e-05	1.093397e+00	2.225065e+00
1.487453260744939e-05	1.096523e+00	2.230050e+00
1.496172825214570e-05	1.109100e+00	2.249987e+00
1.497172825214570e-05	1.110547e+00	2.252273e+00
1.499172825214570e-05	1.113451e+00	2.256844e+00
1.500172825214570e-05	1.114904e+00	2.259129e+00
1.501000000000000e-05	1.116107e+00	2.261019e+00
1.502000000000000e-05	1.117564e+00	2.263304e+00
1.502078515755160e-05	1.117678e+00	2.263484e+00
1.502235547265479e-05	1.117907e+00	2.263842e+00
1.502549610286118e-05	1.118365e+00	2.264560e+00
1.502699009740933e-05	1.118582e+00	2.264901e+00
1.502701201090370e-05	1.118586e+00	2.264906e+00
1.502705583789243e-05	1.118592e+00	2.264916e+00
1.502714349186989e-05	1.118605e+00	2.264936e+00
1.502731879982481e-05	1.118630e+00	2.264977e+00
1.502766941573465e-05	1.118682e+00	2.265057e+00
1.502837064755433e-05	1.118784e+00	2.265217e+00
1.502859753636064e-05	1.118817e+00	2.265269e+00
1.502905131397325e-05	1.118883e+00	2.265373e+00
1.502909244477477e-05	1.118889e+00	2.265382e+00
1.502917470637782e-05	1.118901e+00	2.265401e+00
1.502933922958392e-05	1.118925e+00	2.265438e+00
1.502966827599610e-05	1.118973e+00	2.265513e+00
1.503000000000000e-05	1.119021e+00	2.265589e+00
1.503003317240039e-05	1.119026e+00	2.265597e+00
1.503009951720117e-05	1.119036e+00	2.265612e+00
1.503023220680273e-05	1.119055e+00	2.265642e+00
1.503049758600585e-05	1.119094e+00	2.265703e+00
1.503096752710106e-05	1.119163e+00	2.265810e+00
1.503134191782010e-05	1.119217e+00	2.265895e+00
1.503174398656960e-05	1.119276e+00	2.265986e+00
1.503214353835281e-05	1.119334e+00	2.266075e+00
1.503265253914953e-05	1.119408e+00	2.266188e+00
1.503320020873208e-05	1.119488e+00	2.266307e+00
1.503429554789717e-05	1.119648e+00	2.266535e+00
1.503595770967975e-05	1.119891e+00	2.266859e+00
1.503716366897956e-05	1.120067e+00	2.267066e+00
1.503825403671618e-05	1.120226e+00	2.267211e+00
1.503908823370765e-05	1.120348e+00	2.267284e+00
1.503974954314773e-05	1.120444e+00	2.267313e+00
1.504008917441830e-05	1.120494e+00	2.267316e+00
1.504027827054268e-05	1.120521e+00	2.267314e+00
1.504041595074852e-05	1.120541e+00	2.267311e+00
1.504054980884168e-05	1.120561e+00	2.267307e+00
1.504074109792227e-05	1.120589e+00	2.267302e+00
